AEM,Agnico Eagle Mines Limited,Agnico,"""Agnico Eagle Mines Limited (AEM)"":[""AEM"",""Agnico""],",,
ADC,Agree Realty Corporation,Agree,"""Agree Realty Corporation (ADC)"":[""ADC"",""Agree""],",,
AL,Air Lease Corporation,Air,"""Air Lease Corporation (AL)"":[""AL"",""Air""],",,
APD,Air Products and Chemicals Inc.,Air,"""Air Products and Chemicals Inc. (APD)"":[""APD"",""Air""],",,
ABNB,Airbnb Inc.,Airbnb,"""Airbnb Inc. (ABNB)"":[""ABNB"",""Airbnb""],",,
AKAM,Akamai Technologies Inc.,Akamai,"""Akamai Technologies Inc. (AKAM)"":[""AKAM"",""Akamai""],",,
AGI,Alamos Gold Inc.,Alamos,"""Alamos Gold Inc. (AGI)"":[""AGI"",""Alamos""],",,
ALRM,Alarm.com Holdings Inc.,Alarm.com,"""Alarm.com Holdings Inc. (ALRM)"":[""ALRM"",""Alarm.com""],",,
ALK,Alaska Air Group Inc.,Alaska,"""Alaska Air Group Inc. (ALK)"":[""ALK"",""Alaska""],",,
AIN,Albany International Corporation,Albany,"""Albany International Corporation (AIN)"":[""AIN"",""Albany""],",,
ALB,Albemarle Corporation,Albemarle,"""Albemarle Corporation (ALB)"":[""ALB"",""Albemarle""],",,
ACI,Albertsons Companies Inc.,Albertsons,"""Albertsons Companies Inc. (ACI)"":[""ACI"",""Albertsons""],",,
ARE,Alexandria Real Estate Equities Inc.,Alexandria,"""Alexandria Real Estate Equities Inc. (ARE)"":[""ARE"",""Alexandria""],",,
ALXN,Alexion Pharmaceuticals Inc.,Alexion,"""Alexion Pharmaceuticals Inc. (ALXN)"":[""ALXN"",""Alexion""],",,
ALGN,Align Technology Inc.,Align,"""Align Technology Inc. (ALGN)"":[""ALGN"",""Align""],",,
ALHC,Alignment Healthcare Inc.,Alignment,"""Alignment Healthcare Inc. (ALHC)"":[""ALHC"",""Alignment""],",,
ALLK,Allakos Inc.,Allakos,"""Allakos Inc. (ALLK)"":[""ALLK"",""Allakos""],",,
Y,Alleghany Corporation,Alleghany,"""Alleghany Corporation (Y)"":[""Y"",""Alleghany""],",,
ATI,Allegheny Technologies Incorporated,Allegheny,"""Allegheny Technologies Incorporated (ATI)"":[""ATI"",""Allegheny""],",,
ALGT,Allegiant Travel Company,Allegiant,"""Allegiant Travel Company (ALGT)"":[""ALGT"",""Allegiant""],",,
ALLE,Allegion plc,Allegion,"""Allegion plc (ALLE)"":[""ALLE"",""Allegion""],",,
ALGM,Allegro MicroSystems Inc.,Allegro,"""Allegro MicroSystems Inc. (ALGM)"":[""ALGM"",""Allegro""],",,
ALE,Allete Inc.,Allete,"""Allete Inc. (ALE)"":[""ALE"",""Allete""],",,
ADS,Alliance Data Systems Corporation,Alliance,"""Alliance Data Systems Corporation (ADS)"":[""ADS"",""Alliance""],",,
AB,AllianceBernstein Holding L.P. Units,AllianceBernstein,"""AllianceBernstein Holding L.P. Units (AB)"":[""AB"",""AllianceBernstein""],",,
LNT,Alliant Energy Corporation,Alliant,"""Alliant Energy Corporation (LNT)"":[""LNT"",""Alliant""],",,
ALSN,Allison Transmission Holdings Inc.,Allison,"""Allison Transmission Holdings Inc. (ALSN)"":[""ALSN"",""Allison""],",,
ALLO,Allogene Therapeutics Inc.,Allogene,"""Allogene Therapeutics Inc. (ALLO)"":[""ALLO"",""Allogene""],",,
MDRX,Allscripts Healthcare Solutions Inc.,Allscripts,"""Allscripts Healthcare Solutions Inc. (MDRX)"":[""MDRX"",""Allscripts""],",,
ALL,Allstate Corporation,Allstate,"""Allstate Corporation (ALL)"":[""ALL"",""Allstate""],",,
ALLY,Ally Financial Inc.,Ally,"""Ally Financial Inc. (ALLY)"":[""ALLY"",""Ally""],",,
ALNY,Alnylam Pharmaceuticals Inc.,Alnylam,"""Alnylam Pharmaceuticals Inc. (ALNY)"":[""ALNY"",""Alnylam""],",,
GOOGL,Alphabet Inc.,Alphabet,"""Alphabet Inc. (GOOGL)"":[""GOOGL"",""Alphabet""],",,
GOOG,Alphabet Inc. Capital Stock,Alphabet,"""Alphabet Inc. Capital Stock (GOOG)"":[""GOOG"",""Alphabet""],",,
ALTR,Altair Engineering Inc.,Altair,"""Altair Engineering Inc. (ALTR)"":[""ALTR"",""Altair""],",,
AYX,Alteryx Inc.,Alteryx,"""Alteryx Inc. (AYX)"":[""AYX"",""Alteryx""],",,
ATUS,Altice USA Inc.,Altice,"""Altice USA Inc. (ATUS)"":[""ATUS"",""Altice""],",,
AIMC,Altra Industrial Motion Corp.,Altra,"""Altra Industrial Motion Corp. (AIMC)"":[""AIMC"",""Altra""],",,
MO,Altria Group Inc.,Altria,"""Altria Group Inc. (MO)"":[""MO"",""Altria""],",,
ALXO,ALX Oncology Holdings Inc.,ALX,"""ALX Oncology Holdings Inc. (ALXO)"":[""ALXO"",""ALX""],",,
AMZN,Amazon.com Inc.,Amazon.com,"""Amazon.com Inc. (AMZN)"":[""AMZN"",""Amazon.com""],",,
AMBA,Ambarella Inc.,Ambarella,"""Ambarella Inc. (AMBA)"":[""AMBA"",""Ambarella""],",,
AMCX,AMC Networks Inc.,AMC,"""AMC Networks Inc. (AMCX)"":[""AMCX"",""AMC""],",,
AMED,Amedisys Inc,Amedisys,"""Amedisys Inc (AMED)"":[""AMED"",""Amedisys""],",,
UHAL,Amerco,Amerco,"""Amerco (UHAL)"":[""UHAL"",""Amerco""],",,
AEE,Ameren Corporation,Ameren,"""Ameren Corporation (AEE)"":[""AEE"",""Ameren""],",,
AMRC,Ameresco Inc.,Ameresco,"""Ameresco Inc. (AMRC)"":[""AMRC"",""Ameresco""],",,
AMOV,America Movil S.A.B. de C.V. American Depositary Shares,America,"""America Movil S.A.B. de C.V. American Depositary Shares (AMOV)"":[""AMOV"",""America""],",,
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,America,"""America Movil S.A.B. de C.V. American Depository Receipt Series L (AMX)"":[""AMX"",""America""],",,
AAL,American Airlines Group Inc.,American,"""American Airlines Group Inc. (AAL)"":[""AAL"",""American""],",,
AAT,American Assets Trust Inc.,American,"""American Assets Trust Inc. (AAT)"":[""AAT"",""American""],",,
ACC,American Campus Communities Inc,American,"""American Campus Communities Inc (ACC)"":[""ACC"",""American""],",,
AEO,American Eagle Outfitters Inc.,American,"""American Eagle Outfitters Inc. (AEO)"":[""AEO"",""American""],",,
AEP,American Electric Power Company Inc.,American,"""American Electric Power Company Inc. (AEP)"":[""AEP"",""American""],",,
AEL,American Equity Investment Life Holding Company,American,"""American Equity Investment Life Holding Company (AEL)"":[""AEL"",""American""],",,
AXP,American Express Company,American,"""American Express Company (AXP)"":[""AXP"",""American""],",,
AFG,American Financial Group Inc.,American,"""American Financial Group Inc. (AFG)"":[""AFG"",""American""],",,
AIG,American International Group Inc. New,American,"""American International Group Inc. New (AIG)"":[""AIG"",""American""],",,
ANAT,American National Group Inc.,American,"""American National Group Inc. (ANAT)"":[""ANAT"",""American""],",,
AWR,American States Water Company,American,"""American States Water Company (AWR)"":[""AWR"",""American""],",,
AMT,American Tower Corporation,American,"""American Tower Corporation (AMT)"":[""AMT"",""American""],",,
AWK,American Water Works Company Inc.,American,"""American Water Works Company Inc. (AWK)"":[""AWK"",""American""],",,
AMWL,American Well Corporation,American,"""American Well Corporation (AMWL)"":[""AMWL"",""American""],",,
COLD,Americold Realty Trust,Americold,"""Americold Realty Trust (COLD)"":[""COLD"",""Americold""],",,
AMP,Ameriprise Financial Inc.,Ameriprise,"""Ameriprise Financial Inc. (AMP)"":[""AMP"",""Ameriprise""],",,
ABCB,Ameris Bancorp,Ameris,"""Ameris Bancorp (ABCB)"":[""ABCB"",""Ameris""],",,
ABC,AmerisourceBergen Corporation,AmerisourceBergen,"""AmerisourceBergen Corporation (ABC)"":[""ABC"",""AmerisourceBergen""],",,
AME,AMETEK Inc.,AMETEK,"""AMETEK Inc. (AME)"":[""AME"",""AMETEK""],",,
AMGN,Amgen Inc.,Amgen,"""Amgen Inc. (AMGN)"":[""AMGN"",""Amgen""],",,
FOLD,Amicus Therapeutics Inc.,Amicus,"""Amicus Therapeutics Inc. (FOLD)"":[""FOLD"",""Amicus""],",,
AMKR,Amkor Technology Inc.,Amkor,"""Amkor Technology Inc. (AMKR)"":[""AMKR"",""Amkor""],",,
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,AMN,"""AMN Healthcare Services Inc AMN Healthcare Services Inc (AMN)"":[""AMN"",""AMN""],",,
APH,Amphenol Corporation,Amphenol,"""Amphenol Corporation (APH)"":[""APH"",""Amphenol""],",,
AMRS,Amyris Inc.,Amyris,"""Amyris Inc. (AMRS)"":[""AMRS"",""Amyris""],",,
ADI,Analog Devices Inc.,Analog,"""Analog Devices Inc. (ADI)"":[""ADI"",""Analog""],",,
PLAN,Anaplan Inc.,Anaplan,"""Anaplan Inc. (PLAN)"":[""PLAN"",""Anaplan""],",,
ANGI,Angi Inc.,Angi,"""Angi Inc. (ANGI)"":[""ANGI"",""Angi""],",,
NLY,Annaly Capital Management Inc,Annaly,"""Annaly Capital Management Inc (NLY)"":[""NLY"",""Annaly""],",,
ANSS,ANSYS Inc.,ANSYS,"""ANSYS Inc. (ANSS)"":[""ANSS"",""ANSYS""],",,
AM,Antero Midstream Corporation,Antero,"""Antero Midstream Corporation (AM)"":[""AM"",""Antero""],",,
ANTM,Anthem Inc.,Anthem,"""Anthem Inc. (ANTM)"":[""ANTM"",""Anthem""],",,
AON,Aon plc,Aon,"""Aon plc (AON)"":[""AON"",""Aon""],",,
APA,APA Corporation,APA,"""APA Corporation (APA)"":[""APA"",""APA""],",,
APLS,Apellis Pharmaceuticals Inc.,Apellis,"""Apellis Pharmaceuticals Inc. (APLS)"":[""APLS"",""Apellis""],",,
APHA,Aphria Inc.,Aphria,"""Aphria Inc. (APHA)"":[""APHA"",""Aphria""],",,
APO,Apollo Global Management Inc.,Apollo,"""Apollo Global Management Inc. (APO)"":[""APO"",""Apollo""],",,
APPF,AppFolio Inc.,AppFolio,"""AppFolio Inc. (APPF)"":[""APPF"",""AppFolio""],",,
APPN,Appian Corporation,Appian,"""Appian Corporation (APPN)"":[""APPN"",""Appian""],",,
APLE,Apple Hospitality REIT Inc.,Apple,"""Apple Hospitality REIT Inc. (APLE)"":[""APLE"",""Apple""],",,
AAPL,Apple Inc.,Apple,"""Apple Inc. (AAPL)"":[""AAPL"",""Apple""],",,
AIT,Applied Industrial Technologies Inc.,Applied,"""Applied Industrial Technologies Inc. (AIT)"":[""AIT"",""Applied""],",,
AMAT,Applied Materials Inc.,Applied,"""Applied Materials Inc. (AMAT)"":[""AMAT"",""Applied""],",,
ATR,AptarGroup Inc.,AptarGroup,"""AptarGroup Inc. (ATR)"":[""ATR"",""AptarGroup""],",,
ABR,Arbor Realty Trust,Arbor,"""Arbor Realty Trust (ABR)"":[""ABR"",""Arbor""],",,
ADM,Archer-Daniels-Midland Company,Archer-Daniels-Midland,"""Archer-Daniels-Midland Company (ADM)"":[""ADM"",""Archer-Daniels-Midland""],",,
ARNA,Arena Pharmaceuticals Inc.,Arena,"""Arena Pharmaceuticals Inc. (ARNA)"":[""ARNA"",""Arena""],",,
ARCC,Ares Capital Corporation,Ares,"""Ares Capital Corporation (ARCC)"":[""ARCC"",""Ares""],",,
AWI,Armstrong World Industries Inc,Armstrong,"""Armstrong World Industries Inc (AWI)"":[""AWI"",""Armstrong""],",,
ARRY,Array Technologies Inc.,Array,"""Array Technologies Inc. (ARRY)"":[""ARRY"",""Array""],",,
ARW,Arrow Electronics Inc.,Arrow,"""Arrow Electronics Inc. (ARW)"":[""ARW"",""Arrow""],",,
ARWR,Arrowhead Pharmaceuticals Inc.,Arrowhead,"""Arrowhead Pharmaceuticals Inc. (ARWR)"":[""ARWR"",""Arrowhead""],",,
AJG,Arthur J. Gallagher & Co.,Arthur,"""Arthur J. Gallagher & Co. (AJG)"":[""AJG"",""Arthur""],",,
APAM,Artisan Partners Asset Management Inc.,Artisan,"""Artisan Partners Asset Management Inc. (APAM)"":[""APAM"",""Artisan""],",,
ARVN,Arvinas Inc.,Arvinas,"""Arvinas Inc. (ARVN)"":[""ARVN"",""Arvinas""],",,
ABG,Asbury Automotive Group Inc,Asbury,"""Asbury Automotive Group Inc (ABG)"":[""ABG"",""Asbury""],",,
ASGN,ASGN Incorporated,ASGN,"""ASGN Incorporated (ASGN)"":[""ASGN"",""ASGN""],",,
